,ASIN,Title,ProductGroup,ProductTypeName
112,B01N8SYYBD,"Adidas D Lillard 2 J boys basketball-shoes B39073_4 - CBLACK,CBLACK,CBLACK",Shoes,SHOES
113,B000RK8AGE,"adidas Kid's Triple Star 5 Mid J Baseball Cleat,Black/White,6 M",Shoes,SHOES
114,B071LQPMNJ,BY2125 GRADE SCHOOL ULTRABOOST J ADIDAS GREY,Shoes,SHOES
115,B0758KN43C,Adidas Athletics Pullover - Black Heather - Boys - 4,Apparel,SWEATER
116,B01LZ86N9G,Adidas Pro Model C Little Kids (PS) Shoes Black/Black by4394 (2.5 M US),Shoes,SHOES
117,B072LY66XF,adidas Kids Unisex Basketball Harden Vol.1 Shoes #BY3483 (5.5 M Big Kid),Shoes,SHOES
118,B01M0HYGQO,adidas Skateboarding Unisex Adi-Ease J (Little Kid/Big Kid) Core Black/Energy Blue/Energy Blue Athletic Shoe,Shoes,SHOES
119,B00IIT6ATK,"Adidas (Gs) Big Kids Crazy 8 J Basketball Shoes, Black, 5 M Us",Shoes,SHOES
120,B00GVA2E8O,adidas Kids Unisex Squad 13 Shorts (Little Kids/Big Kids) University Red/White XL (16 Big Kids),Sports,SPORTING_GOODS
121,B01N8XDZL1,"adidas Performance Boys' Crazy Time C Skate Shoe, Black/Black/Light Scarlet, 12 M US Little Kid",Shoes,SHOES
122,B01MQURPA7,Adidas Tubular Instinct Youth US 4.5 Black Tennis Shoe,Shoes,SHOES
123,B004RTJYI4,"adidas Little Boys' Active Mesh Short, Black, 5",Apparel,SHORTS
124,B01HG7RRYG,"adidas Boys Tennis Essex Trend Bermuda, Black/Glow Orange, Medium",Sports,SPORTING_GOODS
125,B019PKSSRM,adidas Kids Baby Boy's D Rose 7 (Infant/Toddler) Core Black/Ray Red/Core Black Sneaker 5 Toddler M,Shoes,SHOES
126,B014UT8YT0,Adidas Samoa Prf C Big Kids Style: B27473-FTWWHT/SOLRED Size: 1.5,Shoes,SHOES
127,B00KZ95J8E,adidas Kids Boy's Tech Fleece (Big Kids) Black/Scarlet MD (10-12 Big Kids),Apparel,OUTERWEAR
128,B01KGEXZN8,"Adidas Junior Big Kids Tubular X Pack Core Black Grey Leather Fashion Sneakers, 6",Shoes,SHOES
129,B01HG7QOA4,"adidas Boys Tennis Melbourne Line Bermuda, White/Mystery Blue, Large",Sports,SPORTING_GOODS
130,B014UTA3DA,ADIDAS Pre-School Samoa Running Shoes #B27472 (12 Little Kid M),Shoes,SHOES
131,B007SYCMXE,"adidas Performance Unisex Sereno Pants, Black, X-Large",Sports,SPORTING_GOODS
132,B01HO3YOYI,Adidas Kids Basketball Shoes NBA Youth Dual Threat BBall Mid Shoe Sport B72888 (EU 37 1/3 - UK 4.5 - US 5),Shoes,SHOES
133,B0083M1Q8W,"adidas Big Boys' Youth Sossto Short, White, Large",Apparel,SHORTS
134,B019HPUHFG,Adidas Kids ZX Flux J Syellow/Cblack/Ftwwht Running Shoe 7 Kids US,Shoes,SHOES
135,B010Q1JW92,"adidas Originals Crestwood Mid J Shoe (Big Kid), Black/Black/Black, 6.5 M US Big Kid",Shoes,SHOES
136,B01N6LXN7H,adidas Kids Boy's Full Court Shorts (Big Kids) Navy Shorts,Sports,SPORTING_GOODS
137,B077PL5PJP,Adidas Golden State Warriors Youth Authentic Hooded Sweatshirt (Youth Medium),Apparel,SWEATER
138,B01FIFG0ZK,"adidas Performance Boys' Adilette SC+ Thong k Flip Flop, Black/Semi Solar Slime/Black, 1 M US Little Kid",Shoes,SHOES
139,B010Q3LFD6,"adidas Performance D Rose 6 C Shoe (Little Kid),Dark Purple/Blast Purple/Blue,1.5 M US Little Kid",Shoes,SHOES
140,B00O41ZQH8,adidas Boy's Tiro 15 Tracksuit BlackWhite 8 Black,Apparel,SPORTING_GOODS
141,B0777SPZ9Y,"Adidas Boys' Sport Tricot Set (Bright Baby Blue, 7X)",Sports,SPORTING_GOODS
142,B073DCCBTK,Adidas Fusion Camo T-shirt - Bright Blue - Boys - L,Apparel,SHIRT
143,B01N76JHP9,Adidas Youth Tiro 17 Soccer Warm Top 2XS Dark Grey-Black-White,Apparel,SHIRT
144,B01GIBWWOG,Adidas Kids Basketball Shoes Outrival Training Bounce Sport B54112 Adiprene NBA (EU 38 - UK 5 - US 5.5),Shoes,SHOES
145,B016SLXY1G,Adidas D.Rose 6 Basketball Preschool Kid's Shoes Size 12,Shoes,SHOES
146,B01LZK21KP,adidas Tubular shadow I Shoes #BB8890 (7 Toddler M),Shoes,SHOES
147,B01N1V0GJK,Adidas Kids Tshirts Running Training Essentials Logo Tee White BK3488 Boys New (128 / 7-8 Years),Apparel,SPORTING_GOODS
148,B0777RWMHX,"Adidas Boys' Sport Tricot Set (Neon Green/Grey, 3T)",Sports,SPORTING_GOODS
149,B01HPH5SKM,adidas Tubular Shadow Knit I #BY2225 (8 toddler M),Shoes,SHOES
150,B01MXNEU1T,Adidas Youth Tiro 17 Soccer Rain Pant M Black-White,Apparel,PANTS
